period,origin_position,baseline_calls,candidate_calls,overlap_count,overlap_pct,added,removed
tuning,120,15,15,14,0.9333333333333333,X48,X32
tuning,121,15,15,13,0.8666666666666667,"X17,X18","X37,X42"
tuning,122,15,15,14,0.9333333333333333,X29,X32
tuning,123,15,15,15,1.0,,
tuning,124,15,15,14,0.9333333333333333,X17,X31
tuning,125,15,15,15,1.0,,
tuning,126,15,15,13,0.8666666666666667,"X19,X29","X21,X46"
tuning,127,15,15,13,0.8666666666666667,"X29,X48","X28,X37"
tuning,128,15,15,13,0.8666666666666667,"X18,X19","X23,X32"
tuning,129,15,15,14,0.9333333333333333,X42,X32
tuning,130,15,15,14,0.9333333333333333,X48,X37
tuning,131,15,15,14,0.9333333333333333,X17,X32
tuning,132,15,15,14,0.9333333333333333,X25,X28
tuning,133,15,15,14,0.9333333333333333,X20,X23
tuning,134,15,15,15,1.0,,
tuning,135,15,15,14,0.9333333333333333,X17,X42
tuning,136,15,15,12,0.8,"X17,X29,X6","X23,X28,X37"
tuning,137,15,15,14,0.9333333333333333,X20,X29
tuning,138,15,15,13,0.8666666666666667,"X19,X6","X28,X3"
tuning,139,15,15,13,0.8666666666666667,"X17,X6","X23,X42"
tuning,140,15,15,14,0.9333333333333333,X49,X3
tuning,141,15,15,14,0.9333333333333333,X49,X28
tuning,142,15,15,14,0.9333333333333333,X17,X3
tuning,143,15,15,14,0.9333333333333333,X6,X25
tuning,144,15,15,14,0.9333333333333333,X20,X31
tuning,145,15,15,13,0.8666666666666667,"X19,X6","X21,X31"
tuning,146,15,15,14,0.9333333333333333,X6,X35
tuning,147,15,15,12,0.8,"X17,X2,X6","X16,X24,X31"
tuning,148,15,15,14,0.9333333333333333,X6,X32
tuning,149,15,15,14,0.9333333333333333,X6,X42
tuning,150,15,15,15,1.0,,
tuning,151,15,15,13,0.8666666666666667,"X49,X6","X21,X30"
tuning,152,15,15,14,0.9333333333333333,X19,X36
tuning,153,15,15,15,1.0,,
tuning,154,15,15,14,0.9333333333333333,X48,X49
tuning,155,15,15,14,0.9333333333333333,X19,X31
tuning,156,15,15,13,0.8666666666666667,"X19,X48","X17,X31"
tuning,157,15,15,14,0.9333333333333333,X27,X18
tuning,158,15,15,14,0.9333333333333333,X27,X35
tuning,159,15,15,13,0.8666666666666667,"X27,X29","X16,X46"
tuning,160,15,15,14,0.9333333333333333,X29,X16
tuning,161,15,15,14,0.9333333333333333,X29,X21
tuning,162,15,15,14,0.9333333333333333,X26,X31
tuning,163,15,15,14,0.9333333333333333,X29,X31
tuning,164,15,15,15,1.0,,
tuning,165,15,15,13,0.8666666666666667,"X20,X29","X24,X31"
tuning,166,15,15,13,0.8666666666666667,"X2,X33","X28,X36"
tuning,167,15,15,13,0.8666666666666667,"X26,X29","X28,X31"
tuning,168,15,15,14,0.9333333333333333,X33,X24
